# pinned smoke-set expectations — baseline ct1 (contract design increment 1, 743 EXACT)
# idx	va	name	expected_verdict
00289	000191b8	FUN_000191b8	EXACT
01578	000420f0	FUN_000420f0	EXACT
00074	00012360	FUN_00012360	EXACT
02378	0005d500	FUN_0005d500	EXACT
00079	000125bc	FUN_000125bc	EXACT
01328	0003925c	FUN_0003925c	EXACT
00035	00011128	FUN_00011128	EXACT
01992	0004dee0	FUN_0004dee0	EXACT
02832	00072357	FUN_00072357	EXACT
02678	0006a7d0	FUN_0006a7d0	EXACT
01076	00031d58	FUN_00031d58	MISMATCH
00056	00011b9c	FUN_00011b9c	EXACT
00000	00010010	FUN_00010010	MISMATCH
00473	0001fdbc	FUN_0001fdbc	MISMATCH
02583	00066100	FUN_00066100	MISMATCH
